r_kpc,V_obs,V_err,V_gas,V_disk,V_bulge,V_baryon,V_ent,V_total,residual
0.16,24.5,2.83,0.0,23.21,0.0,23.21,12.267685277658654,26.25262276557683,-1.752622765576831
0.26,35.3,2.46,0.0,35.33,0.0,35.33,15.5600925898231,38.60473262961249,-3.304732629612495
0.36,43.2,1.12,1.92,46.97,0.0,47.00922569028339,18.21799844622849,50.415897962713935,-7.215897962713932
0.46,52.0,1.25,2.29,56.68,0.0,56.726241722856976,20.49053375787538,60.31358448710066,-8.313584487100663
0.56,60.9,2.93,2.64,63.77,0.0,63.8246229914443,22.495432709672986,67.67294136355702,-6.772941363557017
0.66,65.8,1.25,3.0,67.56,0.0,67.62657465819188,24.29961115051659,71.85975718068015,-6.059757180680151
0.76,71.7,1.25,3.34,70.83,0.0,70.9087053893949,25.94550962273819,75.50638363465437,-3.8063836346543667
0.86,74.6,1.6,3.68,72.8,0.0,72.89295164829038,27.462098608969235,77.89447515715571,-3.2944751571557163
0.96,74.6,1.03,4.02,74.87,0.0,74.9778453944897,28.870229308398088,80.34405665834586,-5.744056658345869
1.06,76.6,1.12,4.37,77.12,0.0,77.24371366007722,30.18552277949291,82.9322439433016,-6.332243943301606
1.16,78.5,1.6,4.75,79.47,0.0,79.61182952300493,31.420055441999576,85.58775195072205,-7.087751950722051
1.27,83.4,1.8,5.15,82.18,0.0,82.34121021699889,32.69613397205135,88.59521475067564,-5.195214750675632
1.36,86.4,1.6,5.51,85.19,0.0,85.36800454502846,33.68331776770636,91.77288322723811,-5.3728832272381055
1.47,87.4,1.41,5.76,87.94,0.0,88.12843581954691,34.82755043076794,94.7606430381711,-7.360643038171091
1.57,90.3,1.41,5.98,90.77,0.0,90.96677030652457,35.81380700656778,97.76288698838472,-7.462886988384724
1.67,93.3,1.6,6.21,93.98,0.0,94.184948372869,36.753298748467245,101.10197559342787,-7.801975593427869
1.77,93.3,1.41,6.42,96.86,0.0,97.07252958484186,37.64984337687346,104.11813821953935,-10.81813821953935
1.87,95.2,1.25,6.61,99.21,0.0,99.42995625061896,38.50674594175515,106.62591468786036,-11.425914687860356
1.97,97.2,1.6,6.81,101.42,0.0,101.64837677011866,39.32689224288789,108.99081132592651,-11.790811325926512
2.08,99.1,2.02,7.01,103.79,0.0,104.02645913420298,40.18962110772772,111.51999751068288,-12.41999751068289
2.18,98.2,2.02,7.27,106.07,0.0,106.31884969279906,40.94049934862129,113.92902302273315,-15.729023022733145
2.28,98.2,1.6,7.54,106.73,0.0,106.99600226176678,41.66160303622654,114.82087644478298,-16.62087644478298
2.37,98.2,1.0,7.81,106.19,0.0,106.47681531676274,42.28661243962585,114.56644269426855,-16.366442694268542
2.47,97.2,1.12,8.25,105.57,0.0,105.8918665431864,42.955897664725065,114.2729038056806,-17.072903805680596
2.57,98.2,1.41,8.77,105.08,0.0,105.44533797186104,43.600101620704024,114.1038481442923,-15.903848144292297
2.68,98.2,1.12,9.31,104.39,0.0,104.8043329256954,44.28134359577356,113.77515366127598,-15.575153661275976
2.78,98.2,1.6,9.95,103.8,0.0,104.27580016475538,44.877074879890124,113.52266007179036,-15.322660071790352
2.88,99.1,2.69,10.97,103.16,0.0,103.74163339759018,45.451492893314565,113.26148818654566,-14.161488186545668
2.98,100.0,2.69,11.96,102.68,0.0,103.37419407182821,46.00561272908068,113.14919532448366,-13.149195324483657
3.08,102.0,3.16,13.06,102.46,0.0,103.28898876453384,46.54037051818758,113.28998758924013,-11.289987589240127
3.19,101.0,3.4,14.06,102.29,0.0,103.25176850785657,47.10727236095339,113.49018816307004,-12.490188163070044
3.29,101.0,3.4,15.05,102.51,0.0,103.60889247550135,47.60411324743261,114.02172686849813,-13.021726868498135
3.39,103.0,2.93,16.15,102.82,0.0,104.08061731177423,48.08407915820353,114.65100770814176,-11.651007708141762
3.49,107.0,2.46,17.15,103.06,0.0,104.47720373363751,48.54786102179069,115.20581977396412,-8.205819773964123
3.59,110.0,2.46,18.14,102.95,0.0,104.53593688296863,48.99610431984197,115.44860474912998,-5.448604749129984
3.69,112.0,3.4,19.24,103.12,0.0,104.8995328874252,49.429413332767155,115.9619717942979,-3.961971794297895
3.79,114.0,5.1,20.24,102.93,0.0,104.90110819243047,49.84835488012768,116.14258901994201,-2.142589019942008
3.9,118.0,5.1,21.03,102.5,0.0,104.635132245341,50.293230950265276,116.09444422286847,1.905555777131525
3.99,118.0,4.85,21.83,101.99,0.0,104.30009108337345,50.64523502259579,115.94588751005341,2.05411248994659
4.47,118.0,5.36,25.72,99.49,0.0,102.76078288919368,52.354312465264854,115.32888854797217,2.67111145202783
4.97,121.0,2.57,27.81,97.06,0.0,100.96553718967677,53.866738665887965,114.43629334480855,6.563706655191453
5.47,124.0,0.22,29.41,94.4,0.0,98.87521479116998,55.14482763270115,113.21333894307826,10.786661056921744
5.96,125.0,0.88,30.7,91.13,0.0,96.16219059484865,56.20041238137113,111.38066821417517,13.619331785824826
