r_kpc,V_obs,V_err,V_gas,V_disk,V_bulge,V_baryon,V_ent,V_total,residual
0.28,11.9,7.89,0.95,6.22,0.0,6.2921300050142,20.701025729721692,21.636158768658532,-9.736158768658532
0.87,34.8,7.89,2.93,17.64,0.0,17.881680569789854,34.72881590908632,39.06206797453518,-4.262067974535185
1.46,58.5,8.68,4.98,27.33,0.0,27.78001619869938,42.82772519406279,51.048441164233026,7.451558835766974
2.05,81.5,14.2,7.2,35.16,0.0,35.88963081448456,48.321847304140654,60.19191413208825,21.30808586791175
2.35,91.8,17.5,8.24,37.71,0.0,38.599762952640006,50.46812326856722,63.53717940112935,28.262820598870647
4.76,114.0,8.68,16.62,45.06,0.0,48.02736719829643,58.96213893992779,76.04710269544363,37.95289730455637
7.86,116.0,8.68,34.33,41.16,0.0,53.59752326367329,59.09414731523013,79.7797765534231,36.220223446576895
8.7,117.0,16.6,39.57,40.09,0.0,56.32932628746771,58.180860619391424,80.98151358435487,36.01848641564513
10.18,118.0,51.9,39.57,38.11,0.0,54.93775568768714,56.04901372489425,78.4834309872688,39.516569012731196
10.47,118.0,40.3,39.57,37.78,0.0,54.70935294810203,55.57390491542258,77.9844356750014,40.01556432499861
